App ID;Name;Short Description;Developer;Publisher;Genre;Tags;Type;Categories;Owners;Positive Reviews;Negative Reviews;Price;Initial Price;Discount;CCU;Languages;Platforms;Release Date;Required Age;Website;Header Image
10;Counter-Strike;Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.;Valve;Valve;Action;"Action: 5426, FPS: 4831, Multiplayer: 3392, Shooter: 3353, Classic: 2784, Team-Based: 1864, First-Person: 1707, Competitive: 1607, Tactical: 1344, e-sports: 1192, ""1990s"": 1191, PvP: 881, Old School: 769, Military: 632, Strategy: 614, Survival: 304, Score Attack: 289, 1980s: 266, Assassin: 227, Nostalgia: 131";game;Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, PvP;10,000,000 .. 20,000,000;201215;5199;999;999;0;13990;English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean;windows, mac, linux;2000/11/1;0;;https://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1666823513
1000000;ASCENXION;ASCENXION is a 2D shoot 'em up game where you explore the field to progress. Players must overcome puzzles, traps, elite units, boss fights, and other various obstacles while navigating the field. Grow stronger through rewards earned, to uncover the truth of this world.;IndigoBlue Game Studio;PsychoFlux Entertainment;Action, Adventure, Indie;"""Shoot Em Up"": 186, Metroidvania: 181, Bullet Hell: 179, Side Scroller: 175, Twin Stick Shooter: 170, Difficult: 161, 2D: 159, Shooter: 159, Controller: 148, Action: 138, Minimalist: 136, Colorful: 124, Abstract: 111, Robots: 100, Atmospheric: 88, Adventure: 73, Singleplayer: 71, Indie: 69, GameMaker: 51, Great Soundtrack: 38";game;Single-player, Partial Controller Support, Steam Achievements, Steam Cloud;0 .. 20,000;27;5;999;999;0;0;English, Korean, Simplified Chinese;windows;2021/05/14;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000000/header.jpg?t=1655723048
1000010;Crown Trick;Enter a labyrinth that moves as you move, where mastering the elements is key to defeating enemies and uncovering the mysteries of this underground world. With a new experience awaiting every time you enter the dungeon, let the power bestowed by the crown guide you in this challenging adventure!;NEXT Studios;Team17, NEXT Studios;Adventure, Indie, RPG, Strategy;Rogue-like: 268, Turn-Based Combat: 254, RPG: 237, Perma Death: 231, Rogue-lite: 226, Adventure: 225, Dungeon Crawler: 225, Strategy: 225, Turn-Based: 222, Female Protagonist: 217, Turn-Based Strategy: 216, Singleplayer: 211, 2D: 205, Replay Value: 192, Difficult: 189, Tactical: 184, Action-Adventure: 179, Fantasy: 179, Top-Down: 178, Magic: 171;game;Single-player, Partial Controller Support, Steam Achievements, Steam Cloud, Steam Trading Cards;200,000 .. 500,000;4032;646;599;1999;70;99;Simplified Chinese, English, Japanese, Traditional Chinese, French, German, Spanish - Spain, Russian, Portuguese - Brazil;windows;2020/10/16;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000010/header.jpg?t=1655724189
1000030;Cook, Serve, Delicious! 3?!;Cook, serve and manage your food truck as you dish out hundreds of different foods across war-torn America in this massive sequel to the million-selling series!;Vertigo Gaming Inc.;Vertigo Gaming Inc.;Action, Indie, Simulation, Strategy;Typing: 221, Management: 213, Casual: 209, Difficult: 208, Arcade: 200, Strategy: 190, 2D: 187, Funny: 184, Simulation: 182, Comedy: 176, Action: 175, Co-op: 175, Family Friendly: 175, Local Co-Op: 163, Local Multiplayer: 158, Multiplayer: 157, Singleplayer: 134, Co-op Campaign: 123, Fast-Paced: 120, Cooking: 119;game;Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together;100,000 .. 200,000;1575;115;1999;1999;0;76;English;windows, mac;2020/10/14;0;http://www.cookservedelicious.com;https://cdn.akamai.steamstatic.com/steam/apps/1000030/header.jpg?t=1660866300
1000040;细胞战争;这是一款打击感十足的细胞主题游戏！操作简单但活下去却不简单，“你”作为侵入人体的细菌病毒，通过与细胞之间的战斗来获得基因变异点数和进入下一关的资格，每种细菌病毒都有独特的能力和攻击效果，你是否可以破坏五大器官并占领人体呢！？;DoubleC Games;DoubleC Games;Action, Casual, Indie, Simulation;Action: 22, Casual: 22, Indie: 21, Simulation: 20;game;Single-player;0 .. 20,000;0;1;199;199;0;0;Simplified Chinese;windows;2019/03/30;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000040/header.jpg?t=1627033870
1000080;Zengeon;Zengeon is an anime infused Action RPG and Roguelite with a selection of unique characters and varying play-styles. Slaughter your way through demonic hordes and colossal bosses with hundreds of combination and skill possibilities!;IndieLeague Studio;2P Games;Action, Adventure, Indie, RPG;Action: 138, Indie: 128, RPG: 121, Adventure: 115, Action Roguelike: 111, Anime: 84, Action RPG: 77, Rogue-lite: 67, Multiplayer: 62, Hack and Slash: 57, Rogue-like: 53, Linear: 51, Singleplayer: 46, Early Access: 38, Online Co-Op: 38, Female Protagonist: 36, Co-op: 34, Sexual Content: 33, Casual: 31, JRPG: 30;game;Multi-player, Single-player, Steam Achievements, Full controller support, Steam Trading Cards;100,000 .. 200,000;1018;462;799;1999;60;3;Simplified Chinese, English, Traditional Chinese, Japanese, Korean;windows, mac;2019/06/24;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000080/header.jpg?t=1667062553
1000100;干支セトラ　陽ノ卷｜干支etc.　陽之卷;耐用年数を超えて綻びゆく都市風水を修復するため、次代の風水師候補に選ばれた主人公。 綻びから襲い来る妖異を討ち祓い、半年後の認定試験に挑むため与えられたのは、十二支――陰陽五行の化身である１２人の男達だった。 それは、400年に渡る首都繁栄の終焉。;七月九日;Starship Studio;Adventure, Indie, RPG, Strategy;Adventure: 20, Indie: 20, RPG: 20, Strategy: 20, Anime: 11, Dating Sim: 10;game;Single-player, Steam Achievements, Steam Cloud;0 .. 20,000;18;6;1299;1299;0;0;Japanese, Simplified Chinese, Traditional Chinese;windows;2019/01/24;0;http://0709.noor.jp/etc;https://cdn.akamai.steamstatic.com/steam/apps/1000100/header.jpg?t=1561522270
1000110;Jumping Master(跳跳大咖);Jumping Master is a innovative casual competitive game fully merged with classic gameplay of mushroom game. It aims to help us revisit the classic mushroom game in our chlidhood.;重庆环游者网络科技;重庆环游者网络科技;Action, Adventure, Casual, Free to Play, Massively Multiplayer;Free to Play: 26, Massively Multiplayer: 25, Action: 24, Casual: 24, Adventure: 23;game;Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP;20,000 .. 50,000;50;34;0;0;0;0;English, Simplified Chinese, Traditional Chinese;windows;2019/04/8;0;http://www.huanyz.com/bzjj/;https://cdn.akamai.steamstatic.com/steam/apps/1000110/header.jpg?t=1562917106
1000130;Cube Defender;Build turrets and destroy wave after wave of cube enemies in this minimalist and addictive tower defence game. Battle it out with a bunch of cube enemies and blast them off the map with a range of unique turrets.;Simon Codrington;Simon Codrington;Casual, Indie;Casual: 31, Indie: 31, Tower Defense: 16, Sandbox: 11, Action: 10, Colorful: 10, Strategy: 10;game;Single-player, Steam Achievements, Steam Leaderboards;0 .. 20,000;6;0;299;299;0;0;English;windows, mac;2019/01/6;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000130/header.jpg?t=1646024900
1000280;Tower of Origin2-Worm's Nest;As the protagonist，the Balrog Princess— HongYe, after helping humans assess the rebellion. She thought she couldhave a stable life, but unexpectedly fell into a bigger crisis. What kind of ♂hardships ♂ will she experience this time, and how ♂interesting experiences♂ she will encounter.;Villain Role;Villain Role;Indie, RPG;Sexual Content: 155, Mature: 150, Female Protagonist: 146, LGBTQ+: 141, JRPG: 137, CRPG: 129, MOBA: 129, Word Game: 122, Turn-Based Strategy: 112, RPG: 107, 2D: 101, Underground: 95, Story Rich: 92, Turn-Based Combat: 91, Multiple Endings: 89, Anime: 86, Drama: 84, Cartoon: 81, Singleplayer: 77, Indie: 70;game;Single-player;0 .. 20,000;32;12;1399;1399;0;0;English, Simplified Chinese, Traditional Chinese;windows;2021/09/9;0;https://weibo.com/u/7623414897;https://cdn.akamai.steamstatic.com/steam/apps/1000280/header.jpg?t=1649211613
